DATE,AAPL US Equity,MSFT US Equity,FB US Equity,GOOGL US Equity,V US Equity,INTC US Equity,CSCO US Equity,MA US Equity,JNJ US Equity,UNH US Equity,PFE US Equity,MRK US Equity,BRK/B US Equity,JPM US Equity,BAC  US Equity,WFC US Equity,AMZN US Equity,HD US Equity,DIS US Equity,NFLX US Equity,BA US Equity,MMM US Equity,GE US Equity,PG US Equity,KO US Equity,XOM US Equity,CVX US Equity,NEE US Equity,AMT US Equity,DWDP US Equity,T US Equity
2016-06-21,95.91,51.19,114.38,708.88,77.33,32.32,28.77,95.11,116.18,138.19,34.75,56.25,143.53,62.95,13.62,47.23,715.82,127.74,98.82,90.99,131.52,171.37,30.94,83.41,45.13,91.53,103.24,124.27,109.44,53.27,41.07
2016-06-22,95.55,50.99,113.91,710.47,76.53,32.29,28.72,94.06,116.46,137.9,34.47,57.04,143.94,62.71,13.61,46.97,710.6,127.6,98.79,90.01,131.77,171.23,30.78,83.57,44.86,91.17,102.29,123.64,109.4,53.22,41.3
2016-06-23,96.1,51.91,115.08,714.87,78.23,32.99,29.22,95.71,117.38,139.19,34.59,57.68,145.98,64.05,14.04,47.91,722.08,128.29,99.02,91.66,133.55,174.11,31.19,84.21,45.08,91.8,104.44,123.81,111.47,53.68,41.88
2016-06-24,93.4,49.83,112.08,685.2,75.05,31.55,27.75,91.47,115.63,137.29,33.97,55.88,139.71,59.6,13,45.71,698.96,126.4,95.72,88.44,126.52,169.12,29.82,82.26,43.93,89.39,101.9,123.8,108.27,51.57,41.52
2016-06-27,92.04,48.43,108.97,681.14,73.34,30.72,27.31,89.07,116.55,137.11,33.8,55.31,138.5,57.61,12.18,45.01,691.36,124.67,94.38,85.33,122.7,167.19,29.32,81.23,43.78,88.86,100.36,127.88,108.89,49.97,42.03
2016-06-28,93.59,49.44,112.7,691.26,75.16,31.19,27.79,90.42,118.23,138.71,34.44,55.58,140.28,59.52,12.7,46.1,707.95,127.53,96.05,87.97,123.89,169.59,29.94,82.46,44.18,90.91,101.63,128.46,110.8,48.5,42.02
2016-06-29,94.4,50.54,114.16,695.19,76.74,31.93,28.26,92.13,119.33,140.52,35.01,57.05,142.12,61.2,13.19,46.97,715.6,127.37,96.98,91.06,126.99,171.52,30.55,83.91,44.44,92.46,103.42,127.75,113,49.4,42.54
2016-06-30,95.6,51.17,114.28,703.53,74.17,32.8,28.69,88.06,121.3,141.2,35.21,57.61,144.79,62.14,13.27,47.33,715.62,127.69,97.82,91.48,129.87,175.12,31.48,84.67,45.33,93.74,104.83,130.4,113.61,49.71,43.21
2016-07-01,95.89,51.16,114.19,710.25,74.48,32.75,28.8,88.85,121.29,140.86,35.57,57.94,143.96,61.26,13.1,47.03,725.68,129.62,98.03,96.67,129.69,175.54,31.49,84.78,45.12,93.84,104.15,129.73,113.6,49.54,43.47
2016-07-05,94.99,51.17,114,704.89,74.67,32.68,28.33,88.24,122.27,141.56,35.81,58,142.23,59.55,12.74,46.21,728.1,129.35,97.66,97.91,126.97,175.63,31.45,85.44,45.43,93.02,103.57,130.87,113.83,48.76,43.35
2016-07-06,95.53,51.38,116.7,708.97,74.06,32.97,28.72,86.83,122.64,142.38,35.86,59.16,142.51,60.19,12.86,46.65,737.61,131.57,98.45,94.6,126.96,175.16,31.74,85.03,45.27,94.09,104.58,130.89,112.4,48.12,43.1
